id,station_id,name,latitude,longitude,air_temp,rainfall,rel_hum,wind_speed,wind_dir,timestamp
S109,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,26.5,0,85.6,2.1,226,2021-10-01T00:00:00
S50,S50,Clementi Road,1.3337,103.7768,26.3,0,86.1,3.3,172,2021-10-01T00:00:00
S107,S107,East Coast Parkway,1.3135,103.9625,28.3,0,86.1,9.8,192,2021-10-01T00:00:00
S43,S43,Kim Chuan Road,1.3399,103.8878,27,0,88.4,5,317,2021-10-01T00:00:00
S44,S44,Nanyang Avenue,1.34583,103.68166,26.5,0,86.6,3.7,191,2021-10-01T00:00:00
S106,S106,Pulau Ubin,1.4168,103.9673,25.1,0,99.2,0.8,190,2021-10-01T00:00:00
S115,S115,Tuas South Avenue 3,1.29377,103.61843,27.5,0,82.3,3.1,107,2021-10-01T00:00:00
S24,S24,Upper Changi Road North,1.3678,103.9826,26.9,0,87,2.8,220,2021-10-01T00:00:00
S116,S116,West Coast Highway,1.281,103.754,27.3,0,90.8,7.5,190,2021-10-01T00:00:00
S104,S104,Woodlands Avenue 9,1.44387,103.78538,26,0,90.9,4.5,56,2021-10-01T00:00:00
S100,S100,Woodlands Road,1.4172,103.74855,26.3,0,86.7,1.5,50,2021-10-01T00:00:00
S109,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,26.5,0,82.8,1.4,231,2021-10-01T03:00:00
S50,S50,Clementi Road,1.3337,103.7768,26.4,0,82.1,2.4,186,2021-10-01T03:00:00
S107,S107,East Coast Parkway,1.3135,103.9625,28.4,0,80,9.60001,187,2021-10-01T03:00:00
S43,S43,Kim Chuan Road,1.3399,103.8878,27.1,0,85.8,5.3,320,2021-10-01T03:00:00
S108,S108,Marina Gardens Drive,1.2799,103.8703,27.2,0,93.7,3.7,177,2021-10-01T03:00:00
S44,S44,Nanyang Avenue,1.34583,103.68166,26.5,0,84.4,4.4,191,2021-10-01T03:00:00
S106,S106,Pulau Ubin,1.4168,103.9673,24.9,0,99.2,1.3,197,2021-10-01T03:00:00
S115,S115,Tuas South Avenue 3,1.29377,103.61843,27.1,0,81.1,3.2,114,2021-10-01T03:00:00
S24,S24,Upper Changi Road North,1.3678,103.9826,26.8,0,86.3,1.7,231,2021-10-01T03:00:00
S116,S116,West Coast Highway,1.281,103.754,27.3,0,90,6.4,196,2021-10-01T03:00:00
S104,S104,Woodlands Avenue 9,1.44387,103.78538,25.8,0,89.2,5.5,47,2021-10-01T03:00:00
S100,S100,Woodlands Road,1.4172,103.74855,26.3,0,85.2,0.8,306,2021-10-01T03:00:00
S109,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,26.4,0,81.1,0.6,306,2021-10-01T06:00:00
S50,S50,Clementi Road,1.3337,103.7768,26.6,0,85,4,167,2021-10-01T06:00:00
S107,S107,East Coast Parkway,1.3135,103.9625,28.4,0,83,8.7,163,2021-10-01T06:00:00
S43,S43,Kim Chuan Road,1.3399,103.8878,27.2,0,88.1,5,315,2021-10-01T06:00:00
S44,S44,Nanyang Avenue,1.34583,103.68166,26.7,0,83.4,3.5,171,2021-10-01T06:00:00
S106,S106,Pulau Ubin,1.4168,103.9673,24.9,0,99.2,0.9,204,2021-10-01T06:00:00
S115,S115,Tuas South Avenue 3,1.29377,103.61843,27.1,0,81.4,2.7,110,2021-10-01T06:00:00
S24,S24,Upper Changi Road North,1.3678,103.9826,27,0,85.8,2.3,219,2021-10-01T06:00:00
S116,S116,West Coast Highway,1.281,103.754,27.4,0,92.8,5.1,169,2021-10-01T06:00:00
S104,S104,Woodlands Avenue 9,1.44387,103.78538,26,0,86.5,4.9,47,2021-10-01T06:00:00
S100,S100,Woodlands Road,1.4172,103.74855,24.8,0,93.6,0.9,57,2021-10-01T06:00:00
S109,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,28.8,0,73.1,2.1,213,2021-10-01T09:00:00
S50,S50,Clementi Road,1.3337,103.7768,28.3,0,71.8,6.4,161,2021-10-01T09:00:00
S107,S107,East Coast Parkway,1.3135,103.9625,28.8,0,82.9,10.4,171,2021-10-01T09:00:00
S43,S43,Kim Chuan Road,1.3399,103.8878,29,0,79.1,4.9,312,2021-10-01T09:00:00
S108,S108,Marina Gardens Drive,1.2799,103.8703,28.9,0,81,5.8,173,2021-10-01T09:00:00
S44,S44,Nanyang Avenue,1.34583,103.68166,28.7,0,74.6,4.1,185,2021-10-01T09:00:00
S106,S106,Pulau Ubin,1.4168,103.9673,27.9,0,93.5,1.5,209,2021-10-01T09:00:00
S115,S115,Tuas South Avenue 3,1.29377,103.61843,28.6,0,76.8,3.1,130,2021-10-01T09:00:00
S24,S24,Upper Changi Road North,1.3678,103.9826,28.5,0,79.3,4.4,205,2021-10-01T09:00:00
S116,S116,West Coast Highway,1.281,103.754,28.4,0,82.4,7.9,191,2021-10-01T09:00:00
S100,S100,Woodlands Road,1.4172,103.74855,28.4,0,82.6,1,279,2021-10-01T09:00:00
S109,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,29.8,0,68.9,5,203,2021-10-01T12:00:00
